"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.ReportServiceUnitTests","UnitTests.Services.ReportServiceUnitTests.TestGetAllReportsWhenNoReportsExist","UnitTests.Services.ReportServiceUnitTests.TestGetAllReportsWhenNoReportsExist",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestUpdateTokenUserNotFound","UnitTests.Repositories.UserRepositoryUnitTests.TestUpdateTokenUserNotFound",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestIsBanNotFound","UnitTests.Repositories.UserRepositoryUnitTests.TestIsBanNotFound",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Services.DatasetServiceUnitTests","UnitTests.Services.DatasetServiceUnitTests.TestAddDatasetWithEmptyTitle","UnitTests.Services.DatasetServiceUnitTests.TestAddDatasetWithEmptyTitle",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Repositories.SchemeRepositoryUnitTests","UnitTests.Repositories.SchemeRepositoryUnitTests.TestDeleteExistingScheme","UnitTests.Repositories.SchemeRepositoryUnitTests.TestDeleteExistingScheme",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.IsBannedUserIsNotBanned","UnitTests.Services.UserServiceUnitTests.IsBannedUserIsNotBanned",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Services.MarkedServiceTests","UnitTests.Services.MarkedServiceTests.Create_ShouldSucceed_WhenValidModel","UnitTests.Services.MarkedServiceTests.Create_ShouldSucceed_WhenValidModel",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateBlock","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateBlock",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.BanMarksAdminIsNotAdmin","UnitTests.Services.UserServiceUnitTests.BanMarksAdminIsNotAdmin",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","10","","","","UnitTests.Converters.MarkedConverterUnitTests","UnitTests.Converters.MarkedConverterUnitTests.TestConvertOkDbToCoreModel","UnitTests.Converters.MarkedConverterUnitTests.TestConvertOkDbToCoreModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Services.DatasetServiceUnitTests","UnitTests.Services.DatasetServiceUnitTests.TestAddDatasetWithOkTitle","UnitTests.Services.DatasetServiceUnitTests.TestAddDatasetWithOkTitle",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Converters.MarkedConverterUnitTests","UnitTests.Converters.MarkedConverterUnitTests.TestConvertNullCoreToDbModel","UnitTests.Converters.MarkedConverterUnitTests.TestConvertNullCoreToDbModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.GetUserByIDNonExistingUser","UnitTests.Services.UserServiceUnitTests.GetUserByIDNonExistingUser",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Converters.UserConverterUnitTests","UnitTests.Converters.UserConverterUnitTests.TestConvertNullCoreToDbModel","UnitTests.Converters.UserConverterUnitTests.TestConvertNullCoreToDbModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","17","","","","UnitTests.Converters.BannedConverterUnitTests","UnitTests.Converters.BannedConverterUnitTests.TestConvertNullDbToCoreModel","UnitTests.Converters.BannedConverterUnitTests.TestConvertNullDbToCoreModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Repositories.SchemeRepositoryUnitTests","UnitTests.Repositories.SchemeRepositoryUnitTests.TestAddSchemeWithLabels","UnitTests.Repositories.SchemeRepositoryUnitTests.TestAddSchemeWithLabels",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","3","","","","UnitTests.Repositories.LabelRepositoryUnitTests","UnitTests.Repositories.LabelRepositoryUnitTests.TestAddLabelInNonEmptyTable","UnitTests.Repositories.LabelRepositoryUnitTests.TestAddLabelInNonEmptyTable",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.SchemeServiceUnitTests","UnitTests.Services.SchemeServiceUnitTests.TestAddSchemeWithEmptyTitle","UnitTests.Services.SchemeServiceUnitTests.TestAddSchemeWithEmptyTitle",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.UnbanByBanIdUserIsNotBanned","UnitTests.Services.UserServiceUnitTests.UnbanByBanIdUserIsNotBanned",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Converters.LabelConverterUnitTests","UnitTests.Converters.LabelConverterUnitTests.TestConvertNullDbToCoreModel","UnitTests.Converters.LabelConverterUnitTests.TestConvertNullDbToCoreModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Converters.SchemeConverterUnitTests","UnitTests.Converters.SchemeConverterUnitTests.TestConvertNullCoreToDbConnectModel","UnitTests.Converters.SchemeConverterUnitTests.TestConvertNullCoreToDbConnectModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","2","","","","UnitTests.Services.DatasetServiceUnitTests","UnitTests.Services.DatasetServiceUnitTests.TestGetAllDatasets","UnitTests.Services.DatasetServiceUnitTests.TestGetAllDatasets",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Services.DatasetServiceUnitTests","UnitTests.Services.DatasetServiceUnitTests.TestGetAllDatasetsWhenNoDatasetsAvailable","UnitTests.Services.DatasetServiceUnitTests.TestGetAllDatasetsWhenNoDatasetsAvailable",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","2","","","","UnitTests.Repositories.DatasetRepositoryUnitTests","UnitTests.Repositories.DatasetRepositoryUnitTests.TestGetAllNoDataset","UnitTests.Repositories.DatasetRepositoryUnitTests.TestGetAllNoDataset",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Services.MarkedServiceTests","UnitTests.Services.MarkedServiceTests.Delete_ShouldSucceed_WhenValidId","UnitTests.Services.MarkedServiceTests.Delete_ShouldSucceed_WhenValidId",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","3","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.BanMarksUserIsAdmin","UnitTests.Services.UserServiceUnitTests.BanMarksUserIsAdmin",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.DatasetServiceUnitTests","UnitTests.Services.DatasetServiceUnitTests.TestWhichImageNotExists","UnitTests.Services.DatasetServiceUnitTests.TestWhichImageNotExists",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.AuthServiceUnitTests","UnitTests.Services.AuthServiceUnitTests.TestLoginUserWithNonExistingUsername","UnitTests.Services.AuthServiceUnitTests.TestLoginUserWithNonExistingUsername",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","2","","","","UnitTests.Repositories.SchemeRepositoryUnitTests","UnitTests.Repositories.SchemeRepositoryUnitTests.TestGetAllSchemesEmpty","UnitTests.Repositories.SchemeRepositoryUnitTests.TestGetAllSchemesEmpty",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestUnbanUserByBanId","UnitTests.Repositories.UserRepositoryUnitTests.TestUnbanUserByBanId",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","3","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestCreateMarkedWithAreas","UnitTests.Repositories.MarkedRepositoryUnitTests.TestCreateMarkedWithAreas",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestAddUserInEmptyTable","UnitTests.Repositories.UserRepositoryUnitTests.TestAddUserInEmptyTable",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Converters.ReportConverterUnitTests","UnitTests.Converters.ReportConverterUnitTests.TestConvertNullDbToCoreModel","UnitTests.Converters.ReportConverterUnitTests.TestConvertNullDbToCoreModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Converters.AreaConverterUnitTests","UnitTests.Converters.AreaConverterUnitTests.TestConvertNullDbToCoreModel","UnitTests.Converters.AreaConverterUnitTests.TestConvertNullDbToCoreModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.GetUserByIDExistingUser","UnitTests.Services.UserServiceUnitTests.GetUserByIDExistingUser",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.IsBannedUserIsBanned","UnitTests.Services.UserServiceUnitTests.IsBannedUserIsBanned",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","19","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateRects","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateRects",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Services.MarkedServiceTests","UnitTests.Services.MarkedServiceTests.Update_Rects_ShouldUpdateMarkedModel_WhenCalledWithValidModel","UnitTests.Services.MarkedServiceTests.Update_Rects_ShouldUpdateMarkedModel_WhenCalledWithValidModel",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestUpdateToken","UnitTests.Repositories.UserRepositoryUnitTests.TestUpdateToken",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.AuthServiceUnitTests","UnitTests.Services.AuthServiceUnitTests.TestRegisterUserWithShortUsername","UnitTests.Services.AuthServiceUnitTests.TestRegisterUserWithShortUsername",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","3","","","","UnitTests.Converters.BannedConverterUnitTests","UnitTests.Converters.BannedConverterUnitTests.TestConvertOkCoreToDbModel","UnitTests.Converters.BannedConverterUnitTests.TestConvertOkCoreToDbModel",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","6","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestGetByDatasetAndSchemeId","UnitTests.Repositories.MarkedRepositoryUnitTests.TestGetByDatasetAndSchemeId",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Converters.ImageConverterUnitTests","UnitTests.Converters.ImageConverterUnitTests.TestConvertOkCoreToDbModel","UnitTests.Converters.ImageConverterUnitTests.TestConvertOkCoreToDbModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Services.UserServiceUnitTests","UnitTests.Services.UserServiceUnitTests.UnbanByBanIdUserIsBanned","UnitTests.Services.UserServiceUnitTests.UnbanByBanIdUserIsBanned",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Services.MarkedServiceTests","UnitTests.Services.MarkedServiceTests.GetAll_ShouldReturnNonBlockedMarkedModels_WhenAdminIdIsNotAdmin","UnitTests.Services.MarkedServiceTests.GetAll_ShouldReturnNonBlockedMarkedModels_WhenAdminIdIsNotAdmin",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","2","","","","UnitTests.Converters.ReportConverterUnitTests","UnitTests.Converters.ReportConverterUnitTests.TestConvertOkCoreToDbModel","UnitTests.Converters.ReportConverterUnitTests.TestConvertOkCoreToDbModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","1","","","","UnitTests.Services.SchemeServiceUnitTests","UnitTests.Services.SchemeServiceUnitTests.TestGetAllSchemes","UnitTests.Services.SchemeServiceUnitTests.TestGetAllSchemes",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","13","","","","UnitTests.Repositories.SchemeRepositoryUnitTests","UnitTests.Repositories.SchemeRepositoryUnitTests.TestAddSchemeWithoutLabels","UnitTests.Repositories.SchemeRepositoryUnitTests.TestAddSchemeWithoutLabels",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateNonExistentRects","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateNonExistentRects",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","7","","","","UnitTests.Services.MarkedServiceTests","UnitTests.Services.MarkedServiceTests.Get_ShouldReturnMarkedModel_WhenValidModel","UnitTests.Services.MarkedServiceTests.Get_ShouldReturnMarkedModel_WhenValidModel",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","3","","","","UnitTests.Repositories.LabelRepositoryUnitTests","UnitTests.Repositories.LabelRepositoryUnitTests.TestDeleteExistingLabel","UnitTests.Repositories.LabelRepositoryUnitTests.TestDeleteExistingLabel",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Repositories.MarkedRepositoryUnitTests","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateBlockWithNonExistentId","UnitTests.Repositories.MarkedRepositoryUnitTests.TestUpdateBlockWithNonExistentId",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","4","","","","UnitTests.Repositories.LabelRepositoryUnitTests","UnitTests.Repositories.LabelRepositoryUnitTests.TestGetAllLabels","UnitTests.Repositories.LabelRepositoryUnitTests.TestGetAllLabels",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","1","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestDoubleBanUser","UnitTests.Repositories.UserRepositoryUnitTests.TestDoubleBanUser",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","2","","","","UnitTests.Services.SchemeServiceUnitTests","UnitTests.Services.SchemeServiceUnitTests.TestAddSchemeWithValidData","UnitTests.Services.SchemeServiceUnitTests.TestAddSchemeWithValidData",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Converters.SchemeConverterUnitTests","UnitTests.Converters.SchemeConverterUnitTests.TestConvertNullCoreToDbModel","UnitTests.Converters.SchemeConverterUnitTests.TestConvertNullCoreToDbModel",""
"passed","Tue Oct 22 11:24:06 GMT 2024","Tue Oct 22 11:24:06 GMT 2024","2","","","","UnitTests.Repositories.UserRepositoryUnitTests","UnitTests.Repositories.UserRepositoryUnitTests.TestBanMarks","UnitTests.Repositories.UserRepositoryUnitTests.TestBanMarks",""
"passed","Tue Oct 22 11:24:05 GMT 2024","Tue Oct 22 11:24:05 GMT 2024","0","","","","UnitTests.Converters.ImageConverterUnitTests","UnitTests.Converters.ImageConverterUnitTests.TestConvertNullCoreToDbModel","UnitTests.Converters.ImageConverterUnitTests.TestConvertNullCoreToDbModel",""
